iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
139,EI,1.3621336364746093,1.3621336364746093,22,48,3,3,3,0.4,34,0.004176922839262003
140,EI,1.5900643920898438,1.5900643920898438,42,28,5,5,2,0.1,274,0.00013208589782845312
141,EI,2.3012211608886717,2.3012211608886717,37,13,3,5,3,0.2,334,0.05570016126648358
142,EI,1.5684135818481446,1.5684135818481446,17,33,5,3,2,0.5,94,0.0017613937564077728
143,EI,2.063937072753906,2.063937072753906,47,43,5,3,2,0.3,454,0.00031322502499910563
144,EI,1.6937820434570312,1.6937820434570312,27,23,3,5,4,0.6,214,0.009905044991603539
145,EI,1.3468245697021484,1.3468245697021484,29,44,5,5,4,0.5,199,0.0014194053981730543
146,EI,2.3126145935058595,2.3126145935058595,9,24,3,3,2,0.2,439,0.04488553981365048
147,EI,2.3026469421386717,2.3026469421386717,19,14,5,3,3,0.6,319,0.007981903125909705
148,EI,1.8659856796264649,1.8659856796264649,39,34,3,5,1,0.3,79,0.00025240993940692415
149,EI,2.3007771301269533,2.3007771301269533,44,9,5,3,3,0.2,139,0.018928075193920826
150,EI,2.54354248046875,2.54354248046875,24,29,3,5,1,0.5,379,0.0005985582933572315
151,EI,1.5821405029296876,1.5821405029296876,14,39,3,3,3,0.7,259,0.00010644038887852022
152,EI,2.301879653930664,2.301879653930664,34,19,5,5,2,0.4,499,0.003365940638901793
153,EI,1.4937059783935547,1.4937059783935547,31,17,3,3,2,0.4,169,0.00016391037827812103
154,EI,1.7974518966674804,1.7974518966674804,11,37,5,5,4,0.7,409,0.005183301274986505
155,EI,2.306190948486328,2.306190948486328,21,47,3,5,1,0.5,289,0.029147845078367342
156,EI,1.5025076675415039,1.5025076675415039,41,27,5,3,3,0.2,49,0.0009217357933336999
157,EI,1.7234339141845703,1.7234339141845703,36,42,5,3,4,0.3,109,0.012291544352025532
158,EI,1.4504742813110352,1.4504742813110352,16,22,3,5,2,0.6,349,0.0003886927611337915
159,EI,4.377679901123047,4.377679901123047,46,12,3,5,2,0.1,229,0.0021857800238787215
160,EI,2.3038747406005857,2.3038747406005857,26,32,5,3,3,0.4,469,0.0691204333955398
161,EI,2.3018814086914063,2.3018814086914063,27,40,3,5,2,0.2,296,0.004652982858153143
162,EI,1.5395232772827148,1.5395232772827148,47,20,5,3,4,0.5,56,0.000147140237454841
163,EI,1.457128143310547,1.457128143310547,17,10,5,3,3,0.7,176,0.0008274303611917793
164,EI,2.3001866912841797,2.3001866912841797,37,30,3,5,2,0.4,416,0.02616564546541814
165,EI,1.3846405792236327,1.3846405792236327,42,15,5,5,3,0.5,236,0.0003489244901452222
166,EI,2.414069290161133,2.414069290161133,22,35,3,3,2,0.2,476,0.01103396120271878
167,EI,2.292999496459961,2.292999496459961,12,45,3,3,3,0.6,116,0.0620485236483577
168,EI,2.3025513458251954,2.3025513458251954,32,25,5,5,1,0.3,356,0.0019621466017963113
169,EI,2.310205383300781,2.310205383300781,34,47,5,3,4,0.3,266,0.040293171523665655
170,EI,1.693053207397461,1.693053207397461,14,27,3,5,2,0.6,506,0.0012741819616662073
171,EI,1.6863288116455077,1.6863288116455077,24,37,5,5,2,0.2,146,0.00022658515470740204
172,EI,1.6450469207763672,1.6450469207763672,44,17,3,3,3,0.5,386,0.007165251728570136
173,EI,1.9869940185546875,1.9869940185546875,39,42,5,3,2,0.4,206,0.0005373180779664115
174,EI,2.30033935546875,2.30033935546875,19,22,3,5,4,0.1,446,0.016991489543577928
175,EI,1.4896125030517577,1.4896125030517577,9,12,3,3,1,0.6,86,0.003021561600123631
176,EI,2.3197096252441405,2.3197096252441405,29,32,5,5,3,0.3,326,0.09555016746893571
177,EI,2.3025904846191407,2.3025904846191407,28,14,3,3,2,0.1,71,0.02108538098604385
178,EI,1.8626683807373048,1.8626683807373048,48,34,5,5,3,0.4,311,0.0006667782924830565
179,EI,1.3746181869506835,1.3746181869506835,18,44,3,5,4,0.3,431,0.000118571810858353
180,EI,1.5773052978515625,1.5773052978515625,38,24,5,3,2,0.6,191,0.0037495698860308016
181,EI,1.8775137710571288,1.8775137710571288,43,39,3,3,1,0.6,491,0.0015811805103002968
182,EI,2.3206702423095704,2.3206702423095704,23,19,5,5,3,0.3,251,0.050001318044162614
183,EI,2.3033729553222657,2.3033729553222657,13,9,5,5,2,0.5,371,0.008891631435274213
184,EI,1.4927079772949219,1.4927079772949219,33,29,3,3,4,0.2,131,0.00028117807450218544
185,EI,2.568075866699219,2.568075866699219,30,46,5,3,3,0.1,41,0.013692459107123193
