iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
145,EI,1.3667488479614258,1.3667488479614258,8,48,5,5,4,0.5,512,0.0002844397133378647
146,EI,1.6111706924438476,1.6111706924438476,33,19,5,5,4,0.1,512,0.00023893902730424556
147,EI,1.4860795211791993,1.4860795211791993,14,39,5,3,4,0.1,512,0.0002599673775421955
148,EI,1.5547581481933594,1.5547581481933594,8,34,3,3,4,0.1,512,0.000270891956090059
149,EI,1.4228180313110352,1.4228180313110352,8,48,3,3,4,0.1,512,0.00023774352401811734
150,EI,1.4528625106811524,1.4528625106811524,8,26,3,5,4,0.1,512,0.0002212103413551859
151,EI,1.636882095336914,1.636882095336914,48,15,3,5,4,0.5,32,0.0024039621963471147
152,EI,1.645116195678711,1.645116195678711,8,48,3,3,3,0.1,32,0.00018523596820231944
153,EI,1.4217236328125,1.4217236328125,45,48,5,3,4,0.5,512,0.0008764699263935239
154,EI,1.4757590866088868,1.4757590866088868,25,48,3,5,3,0.6,32,0.0001857490278828759
155,EI,1.4653286743164062,1.4653286743164062,38,48,5,5,2,0.6,32,0.0001928895023872422
156,EI,1.5375973892211914,1.5375973892211914,12,48,3,3,4,0.5,512,0.002058203160027014
157,EI,1.5566534042358398,1.5566534042358398,33,23,3,5,2,0.6,32,0.00020061080507548503
158,EI,1.577986602783203,1.577986602783203,43,29,3,3,2,0.6,32,0.0001988343996185116
159,EI,1.555577507019043,1.555577507019043,18,48,3,5,4,0.1,512,0.0002457345751116805
160,EI,1.5606344223022461,1.5606344223022461,14,27,5,3,4,0.5,32,0.0022981191114900498
161,EI,1.5935537719726562,1.5935537719726562,34,48,5,3,2,0.6,32,0.0002248159293991878
162,EI,1.373860511779785,1.373860511779785,37,38,3,3,4,0.1,506,0.0002463283243821067
163,EI,1.4088222122192382,1.4088222122192382,30,38,3,3,4,0.5,32,0.0022043015238696496
164,EI,1.5813125228881837,1.5813125228881837,46,48,3,3,2,0.1,32,0.0001660003210924557
165,EI,1.585333137512207,1.585333137512207,44,45,3,5,3,0.5,32,0.0023473596639910356
166,EI,1.4502798461914062,1.4502798461914062,48,8,5,3,4,0.5,512,0.0008542260684765377
167,EI,1.4302093124389648,1.4302093124389648,23,44,5,3,4,0.5,32,0.0021601056247450346
168,EI,1.4111578750610352,1.4111578750610352,48,48,5,3,4,0.5,32,0.0022192581125548734
169,EI,1.4646953964233398,1.4646953964233398,21,31,3,3,4,0.6,32,0.0022873150402748484
170,EI,1.4971575164794921,1.4971575164794921,26,47,5,3,4,0.5,512,0.0008595246963201525
171,EI,1.2810927200317384,1.2810927200317384,46,23,5,5,4,0.5,512,0.00104376306463266
172,EI,1.2910769653320313,1.2910769653320313,26,23,5,5,4,0.5,512,0.001066643429691225
173,EI,1.454293441772461,1.454293441772461,28,16,5,5,4,0.5,512,0.0010762116382570732
174,EI,2.306109848022461,2.306109848022461,28,32,3,3,1,0.1,512,0.0323334953266895
175,EI,1.3566086959838868,1.3566086959838868,36,48,5,5,4,0.5,512,0.0002708299339626033
176,EI,1.297742156982422,1.297742156982422,48,27,3,5,4,0.5,512,0.001023858050205685
